sample,category,subcategory,reference,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,CO2
SCT-62,sample,Surma_sandstone,"Hussain and Bharali, 2019",72.11,14.01,4.04,0.01,0.04,2.34,0.42,2.07,2.22,0.46,0.07,
SVC-7,sample,Surma_sandstone,"Hussain and Bharali, 2019",61.40,19.35,6.41,0.03,0.15,2.22,0.60,1.23,3.38,0.68,0.12,
SCZ-3,sample,Barail_sandstone,"Hussain and Bharali, 2019",75.81,11.91,4.70,0.02,0.06,1.11,0.26,1.33,1.20,0.96,0.11,
SCZ-4,sample,Barail_sandstone,"Hussain and Bharali, 2019",81.59,7.44,3.72,0.01,0.02,0.78,0.18,0.91,0.89,0.51,0.06,
SCZ-12,sample,Barail_sandstone,"Hussain and Bharali, 2019",74.79,12.41,3.57,0.02,0.06,1.24,1.18,1.54,1.74,0.65,0.08,
SCZ-14,sample,Barail_sandstone,"Hussain and Bharali, 2019",77.67,9.41,4.12,0.01,0.02,1.29,0.29,1.62,1.41,0.76,0.08,
SCT-7,sample,Barail_sandstone,"Hussain and Bharali, 2019",70.69,12.53,5.32,0.03,0.11,2.22,1.06,1.66,1.95,0.51,0.07,
SCT-8,sample,Barail_sandstone,"Hussain and Bharali, 2019",74.25,11.52,4.07,0.02,0.06,1.56,0.47,1.85,1.74,0.51,0.07,
SCT-11,sample,Barail_sandstone,"Hussain and Bharali, 2019",78.34,8.24,4.25,0.03,0.08,1.04,0.22,1.56,0.83,0.58,0.07,
SCT-12,sample,Barail_sandstone,"Hussain and Bharali, 2019",75.01,11.60,4.14,0.01,0.03,1.22,0.58,1.64,1.56,0.64,0.08,
