sample,category,subcategory,subsubcategory,reference,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,(CIW),(CPA),(CIA),(PIA),(CIX),(ICV),(WIP),(W),SiO2/Al2O3,K2O/Al2O3,Al2O3/TiO2
MBG19,sample,Manasbal_Lake,lake_bottom,"Lone et al., 2017",58.93,14.99,6.23,0.02,0.08,2.39,4.97,3.23,1.55,0.96,0.16,54.99,70.96,50.37,50.44,63.45,4.51,39.72,37.03,9.46,0.15,0.42
MBG20,sample,Manasbal_Lake,lake_bottom,"Lone et al., 2017",52.66,15.72,3.31,0.01,0.07,1.60,14.12,1.35,1.95,0.48,0.08,34.03,50.78,32.31,30.31,47.03,10.64,65.48,25.74,15.91,0.15,0.21
MBG21,sample,Manasbal_Lake,lake_bottom,"Lone et al., 2017",51.21,13.01,4.35,0.01,0.06,2.13,14.92,2.25,1.33,0.62,0.08,49.85,66.53,46.29,45.67,60.34,7.88,61.72,26.74,11.77,0.14,0.33
MBG22,sample,Manasbal_Lake,lake_bottom,"Lone et al., 2017",51.84,14.49,3.48,0.01,0.05,1.89,14.93,1.66,1.96,0.56,0.13,35.05,51.91,33.03,30.83,47.60,10.20,68.50,26.23,14.90,0.16,0.24
SAR-5,sample,Surma_Group,sandstone,"Hussain and Bharali, 2019",61.98,17.40,5.02,0.02,0.11,2.23,2.78,1.35,3.03,0.65,0.12,33.49,50.18,31.99,30.21,46.88,5.47,48.10,44.52,12.35,0.13,0.29
SAS-5,sample,Surma_Group,sandstone,"Hussain and Bharali, 2019",61.62,17.18,5.05,0.05,0.26,2.32,3.32,1.26,2.53,0.71,0.12,37.76,54.82,35.71,33.96,50.60,5.42,44.34,37.23,12.20,0.14,0.29
SAT-2,sample,Surma_Group,sandstone,"Hussain and Bharali, 2019",75.00,10.78,4.27,0.01,0.04,1.58,0.69,1.81,1.99,0.48,0.11,39.47,56.60,37.66,36.42,52.96,4.06,28.91,60.63,17.56,0.11,0.40
SAZ-3,sample,Surma_Group,sandstone,"Hussain and Bharali, 2019",74.59,11.13,3.84,0.01,0.02,1.46,0.31,1.68,1.93,0.65,0.08,37.68,54.74,35.25,33.06,49.75,4.47,28.62,65.39,19.42,0.17,0.35
SBD-7,sample,Surma_Group,sandstone,"Hussain and Bharali, 2019",77.13,9.91,3.67,0.03,0.07,0.80,0.35,1.44,1.50,0.63,0.09,42.65,59.79,39.52,37.71,53.82,3.99,23.60,62.46,21.02,0.17,0.37
SCT-23,sample,Surma_Group,sandstone,"Hussain and Bharali, 2019",71.22,12.58,4.13,0.04,0.13,2.41,0.98,1.60,1.87,0.64,0.09,40.16,57.31,37.63,35.84,52.28,4.87,29.69,49.19,17.24,0.15,0.33
SCT-57,sample,Surma_Group,sandstone,"Hussain and Bharali, 2019",68.88,13.33,3.75,0.02,0.06,2.29,2.41,1.53,2.27,0.52,0.11,33.43,50.10,31.83,29.91,46.60,5.97,37.22,42.49,18.37,0.14,0.28
SCT-60,sample,Surma_Group,sandstone,"Hussain and Bharali, 2019",68.25,15.53,4.86,0.01,0.05,2.68,0.95,1.69,2.53,0.64,0.10,36.86,53.87,35.02,33.36,50.03,4.94,37.21,59.32,14.04,0.13,0.31
SCT-62,sample,Surma_Group,sandstone,"Hussain and Bharali, 2019",72.11,14.01,4.04,0.01,0.04,2.34,0.42,2.07,2.22,0.46,0.07,35.61,52.52,34.12,32.66,49.33,5.33,30.65,60.25,17.85,0.11,0.29
SVC-7,sample,Surma_Group,sandstone,"Hussain and Bharali, 2019",61.40,19.35,6.41,0.03,0.15,2.22,0.60,1.23,3.38,0.68,0.12,36.56,53.55,35.09,33.78,50.45,4.29,46.38,58.03,9.58,0.11,0.33
SCZ-3,sample,Barail_Group,sandstone,"Hussain and Bharali, 2019",75.81,11.91,4.70,0.02,0.06,1.11,0.26,1.33,1.20,0.96,0.11,54.35,70.42,48.52,48.11,60.93,3.57,22.70,69.00,16.13,0.20,0.39
SCZ-4,sample,Barail_Group,sandstone,"Hussain and Bharali, 2019",81.59,7.44,3.72,0.01,0.02,0.78,0.18,0.91,0.89,0.51,0.06,55.95,71.76,51.66,51.97,64.85,2.88,15.08,69.37,21.93,0.14,0.50
SCZ-12,sample,Barail_Group,sandstone,"Hussain and Bharali, 2019",74.79,12.41,3.57,0.02,0.06,1.24,1.18,1.54,1.74,0.65,0.08,38.41,55.50,35.71,33.36,50.03,5.26,28.83,53.04,20.95,0.18,0.29
SCZ-14,sample,Barail_Group,sandstone,"Hussain and Bharali, 2019",77.67,9.41,4.12,0.01,0.02,1.29,0.29,1.62,1.41,0.76,0.08,47.04,63.98,43.00,41.55,56.73,3.59,23.50,66.67,18.85,0.18,0.44
SCT-7,sample,Barail_Group,sandstone,"Hussain and Bharali, 2019",70.69,12.53,5.32,0.03,0.11,2.22,1.06,1.66,1.95,0.51,0.07,45.33,62.38,43.29,42.63,58.59,3.75,29.73,49.85,13.29,0.10,0.42
SCT-8,sample,Barail_Group,sandstone,"Hussain and Bharali, 2019",74.25,11.52,4.07,0.02,0.06,1.56,0.47,1.85,1.74,0.51,0.07,41.55,58.71,39.34,38.06,54.38,4.34,25.68,58.18,18.24,0.13,0.35
SCT-11,sample,Barail_Group,sandstone,"Hussain and Bharali, 2019",78.34,8.24,4.25,0.03,0.08,1.04,0.22,1.56,0.83,0.58,0.07,60.88,75.68,55.86,57.01,68.07,2.94,15.10,66.20,18.43,0.14,0.52
SCT-12,sample,Barail_Group,sandstone,"Hussain and Bharali, 2019",75.01,11.60,4.14,0.01,0.03,1.22,0.58,1.64,1.56,0.64,0.08,44.65,61.73,41.54,40.18,55.95,4.17,25.01,63.76,18.12,0.15,0.36
CCSC,sample,channel_sediments,Chambal,"Maharana et al., 2018",79.00,0.41,6.10,0.96,1.73,0.05,0.70,5.10,1.20,1.40,0.05,60.71,75.55,52.75,53.73,63.61,1.61,27.65,61.42,12.95,0.23,14.88
CCSF,sample,channel_sediments,Chambal,"Maharana et al., 2018",79.20,0.92,6.70,1.17,2.30,0.07,1.01,4.60,1.30,1.30,0.07,61.04,75.80,54.10,55.31,65.39,1.55,28.81,50.92,11.82,0.19,7.28
BNSCS,sample,channel_sediments,Banas,"Maharana et al., 2018",85.90,0.13,6.20,0.53,0.93,0.04,0.41,1.90,1.50,2.20,0.03,55.68,71.53,45.87,43.62,56.11,1.08,37.10,49.27,13.85,0.35,47.69
BCSC,sample,channel_sediments,Betwa,"Maharana et al., 2018",56.30,0.03,6.30,0.77,0.91,0.13,0.58,18.40,0.90,3.30,0.04,68.03,80.97,49.09,47.95,55.49,3.83,40.00,43.55,8.94,0.52,210.00
BCSF,sample,channel_sediments,Betwa,"Maharana et al., 2018",73.90,0.32,10.40,0.66,1.48,0.05,0.44,3.20,2.00,4.00,0.06,61.25,75.97,48.80,47.98,57.71,1.03,58.23,55.74,7.11,0.38,32.50
KCS,sample,channel_sediments,Ken,"Maharana et al., 2018",83.10,0.29,6.20,0.58,1.14,0.03,0.51,1.70,0.90,1.90,0.05,67.68,80.72,55.27,58.32,63.67,0.95,27.91,69.50,13.40,0.31,21.38
TCS,sample,channel_sediments,Ton,"Maharana et al., 2018",93.40,0.11,2.30,0.50,0.77,0.01,0.17,0.90,0.30,0.40,0.02,69.97,82.33,61.83,65.42,71.28,1.04,7.32,72.84,40.61,0.17,20.91
SCSC,sample,channel_sediments,Son,"Maharana et al., 2018",89.10,0.32,5.70,0.63,1.12,0.03,0.30,0.60,0.90,2.30,0.03,65.81,79.38,51.12,52.02,58.94,0.89,30.73,65.85,15.63,0.40,17.81
SBSF,sample,channel_sediments,Son,"Maharana et al., 2018",86.20,0.79,6.50,0.94,1.83,0.05,0.48,0.90,1.10,2.30,0.06,64.23,78.22,51.55,52.56,60.19,1.01,33.53,74.56,13.26,0.35,8.23
YCS-AG,sample,channel_sediments,Yamuna,"Maharana et al., 2018",83.20,0.39,8.60,0.74,1.83,0.06,1.04,1.50,1.40,1.60,0.11,65.12,78.88,57.57,59.86,68.06,0.78,32.59,70.75,9.67,0.19,22.05
