sample,category,subcategory,subsubcategory,reference,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,CO2
SVC-7,sample,sandstone,Surma_Group,"Hussain and Bharali, 2019",61.4,19.35,6.41,0.03,0.15,2.22,0.6,1.23,3.38,0.68,0.12,
SCZ-3,sample,sandstone,Barail_Group,"Hussain and Bharali, 2019",75.81,11.91,4.7,0.02,0.06,1.11,0.26,1.33,1.2,0.96,0.11,
SCZ-4,sample,sandstone,Barail_Group,"Hussain and Bharali, 2019",81.59,7.44,3.72,0.01,0.02,0.78,0.18,0.91,0.89,0.51,0.06,
SCZ-12,sample,sandstone,Barail_Group,"Hussain and Bharali, 2019",74.79,12.41,3.57,0.02,0.06,1.24,1.18,1.54,1.74,0.65,0.08,
SCZ-14,sample,sandstone,Barail_Group,"Hussain and Bharali, 2019",77.67,9.41,4.12,0.01,0.02,1.29,0.29,1.62,1.41,0.76,0.08,
SCT-7,sample,sandstone,Barail_Group,"Hussain and Bharali, 2019",70.69,12.53,5.32,0.03,0.11,2.22,1.06,1.66,1.95,0.51,0.07,
SCT-8,sample,sandstone,Barail_Group,"Hussain and Bharali, 2019",74.25,11.52,4.07,0.02,0.06,1.56,0.47,1.85,1.74,0.51,0.07,
SCT-11,sample,sandstone,Barail_Group,"Hussain and Bharali, 2019",78.34,8.24,4.25,0.03,0.08,1.04,0.22,1.56,0.83,0.58,0.07,
SCT-12,sample,sandstone,Barail_Group,"Hussain and Bharali, 2019",75.01,11.6,4.14,0.01,0.03,1.22,0.58,1.64,1.56,0.64,0.08,
CCSC,sample,channel_sediments,Chambal,"Maharana et al., 2018",79,0.41,6.1,0.96,1.73,0.05,0.7,5.1,1.2,1.4,0.05,
CCSF,sample,channel_sediments,Chambal,"Maharana et al., 2018",79.2,0.92,6.7,1.17,2.3,0.07,1.01,4.6,1.3,1.3,0.07,
BNSCS,sample,channel_sediments,Banas,"Maharana et al., 2018",85.9,0.13,6.2,0.53,0.93,0.04,0.41,1.9,1.5,2.2,0.03,
BCSC,sample,channel_sediments,Betwa,"Maharana et al., 2018",56.3,0.03,6.3,0.77,0.91,0.13,0.58,18.4,0.9,3.3,0.04,
BCSF,sample,channel_sediments,Betwa,"Maharana et al., 2018",73.9,0.32,10.4,0.66,1.48,0.05,0.44,3.2,2,4,0.06,
KCS,sample,channel_sediments,Ken,"Maharana et al., 2018",83.1,0.29,6.2,0.58,1.14,0.03,0.51,1.7,0.9,1.9,0.05,
TCS,sample,channel_sediments,Ton,"Maharana et al., 2018",93.4,0.11,2.3,0.5,0.77,0.01,0.17,0.9,0.3,0.4,0.02,
SCSC,sample,channel_sediments,Son,"Maharana et al., 2018",89.1,0.32,5.7,0.63,1.12,0.03,0.3,0.6,0.9,2.3,0.03,
SBSF,sample,channel_sediments,Son,"Maharana et al., 2018",86.2,0.79,6.5,0.94,1.83,0.05,0.48,0.9,1.1,2.3,0.06,
YCS-AG,sample,channel_sediments,Yamuna,"Maharana et al., 2018",83.2,0.39,8.6,0.74,1.83,0.06,1.04,1.5,1.4,1.6,0.11,
YCS-ABD,sample,channel_sediments,Yamuna,"Maharana et al., 2018",79.5,0.82,8,0.88,1.95,0.07,0.83,3.3,1.5,1.7,0.12,
GCS-ABD,sample,channel_sediments,Ganga,"Maharana et al., 2018",82.8,0.34,9.1,0.62,1.53,0.04,1.01,1.2,1.8,2,0.09,
GCSS,sample,channel_sediments,Ganga,"Maharana et al., 2018",83.5,0.13,7.6,0.5,1.08,0.02,0.52,1.1,1.6,1.9,0.04,
GCSV,sample,channel_sediments,Ganga,"Maharana et al., 2018",80.7,0.41,7,1.2,2.52,0.12,0.82,1.9,1.4,1.3,0.14,
COB,sample,overbank_sediments,Chambal,"Maharana et al., 2018",61,0.89,11.69,1.18,3.96,0.07,1.87,7.24,0.89,1.91,0.11,
BNSOB,sample,overbank_sediments,Banas,"Maharana et al., 2018",79.15,0.51,9.15,0.98,2.36,0.06,0.87,2.68,1.67,1.93,0.08,
SINMD,sample,overbank_sediments,Sindh,"Maharana et al., 2018",58,0.71,13.2,1.08,4.23,0.09,2.03,7.57,0.8,2.3,0.14,
SINOBO,sample,overbank_sediments,Sindh,"Maharana et al., 2018",55.2,0.75,13.87,1.05,4.66,0.05,2.36,8.19,0.72,1.99,0.07,
BMD1B,sample,overbank_sediments,Betwa,"Maharana et al., 2018",67.24,0.62,12.15,1,3.44,0.08,1.2,3.68,1.07,2.86,0.12,
BOB2A,sample,overbank_sediments,Betwa,"Maharana et al., 2018",73.2,0.07,9.5,0.53,1.06,0.04,0.46,5.43,1.32,3.96,0.04,
