sample,category,subcategory,subsubcategory,reference,(CIW),(CPA),(CIA),(PIA),(CIX),(ICV),(WIP),(W)
SOB2A,sample,overbank_sediments,Son,"Maharana et al., 2018",78.85,88.17,66.83,74.21,73.41,0.7,34.17,73.85
SOB2B,sample,overbank_sediments,Son,"Maharana et al., 2018",87.78,93.49,76.75,85.73,81.08,0.48,30.71,77.1
YOBAG,sample,overbank_sediments,Yamuna,"Maharana et al., 2018",82.43,90.37,69.39,78.36,74.93,0.74,51.13,64.83
YOBABD,sample,overbank_sediments,Yamuna,"Maharana et al., 2018",81.82,90,73.46,79.48,79.99,1.07,24.39,47.18
GOBABD,sample,overbank_sediments,Ganga,"Maharana et al., 2018",71.39,83.31,61.3,65.75,69.88,0.74,45.43,70.53
GOBSA,sample,overbank_sediments,Ganga,"Maharana et al., 2018",81.81,90,70.91,78.51,76.98,0.71,34,65.75
GOBSB,sample,overbank_sediments,Ganga,"Maharana et al., 2018",86.98,93.04,75.48,84.64,80,0.83,35.14,54.68
GOBSC,sample,overbank_sediments,Ganga,"Maharana et al., 2018",84.39,91.53,73.08,81.53,78.38,0.65,34.13,66.76
GOBV,sample,overbank_sediments,Ganga,"Maharana et al., 2018",83.54,91.03,72.39,80.54,77.96,0.92,39.56,52.23
GOBP,sample,overbank_sediments,Ganga,"Maharana et al., 2018",85.07,91.94,73.53,82.29,78.6,0.76,37.18,59.83
GMDP,sample,overbank_sediments,Ganga,"Maharana et al., 2018",90.56,95.04,79,88.94,82.4,0.53,35.19,68.04
GOBBA,sample,overbank_sediments,Ganga,"Maharana et al., 2018",69.29,81.86,59.34,63.1,68.32,1.29,38.1,57.08
GOBBB,sample,overbank_sediments,Ganga,"Maharana et al., 2018",76.7,86.81,64.36,71.18,71.34,1.15,44.49,56.14
CSS12,sample,suspended_sediments,Chambal,"Maharana et al., 2018",89.6,94.52,78.44,87.88,82.18,1.09,31.26,42.83
CSS13,sample,suspended_sediments,Chambal,"Maharana et al., 2018",83.08,90.76,72.89,80.33,78.73,1.25,31.9,40.37
SINSS12,sample,suspended_sediments,Sindh,"Maharana et al., 2018",83.98,91.29,74.58,81.67,80.29,1.14,31.8,44.9
BSS12,sample,suspended_sediments,Betwa,"Maharana et al., 2018",94.07,96.95,86.25,93.48,88.66,0.56,23.76,58.68
BSS13,sample,suspended_sediments,Betwa,"Maharana et al., 2018",88.24,93.75,78.96,86.67,83.35,0.86,25.78,47.96
